rank,name,rating,reviews_count,price,url,asin
75,Apple 2017 MacBook Air with 1.8GHz Core i5 CPU 13-inch 8GB RAM 128 GB Storage Silver (Renewed),4.0,419,$165.00,https://www.amazon.com/dp/B07HY9H8VB,B07HY9H8VB
76,"Microsoft Surface Laptop 4 - i7-1185G7 16GB RAM, 512GB SSD, 13.5"" High-Performance Touchscreen Windows 11, Lightweight with Sleek Design Platinum 5EI-00019 (Renewed)",4.2,55,$399.90,https://www.amazon.com/dp/B0C8BHTXTW,B0C8BHTXTW
77,"Dell Latitude 7490 Business Laptop, Intel Core i7-8650U, 16GB DDR4 RAM, 512GB SSD, 14"" HD (1366x768), CAM, HDMI, Windows 11 Pro (Renewed)",4.2,26,$289.90,https://www.amazon.com/dp/B0BV1H5BFD,B0BV1H5BFD
78,"Microsoft Surface Laptop Go 12.4"" Laptop, 16GB RAM, 256GB SSD, Platinum (Renewed) | Touchscreen, Intel Core i5-1035G1",4.4,62,$269.39,https://www.amazon.com/dp/B0DV6KNHM7,B0DV6KNHM7
79,"HP Stream 14"" HD Laptop, Intel Processor N150, 4GB RAM, 128GB UFS, Intel Graphics, Webcam, Wi-Fi 6, Copilot, Fast Charge, Windows 11, Silver (Renewed)",4.6,31,$187.00,https://www.amazon.com/dp/B0G2WT12HL,B0G2WT12HL
80,"Lenovo 300E G2 11.6"""" Touch Laptop Intel Celeron N4120 4GB RAM 128GB SSD W10P (Renewed), Black",3.8,5,$89.99,https://www.amazon.com/dp/B0CXG4D13V,B0CXG4D13V
81,"Apple 2024 MacBook Pro with Apple M4 Pro Chip (16-inch, 24GB RAM, 512GB SSD Storage) (QWERTY English) Space Black (Renewed)",4.5,36,"$1,899.99",https://www.amazon.com/dp/B0DMXNPT66,B0DMXNPT66
82,"Acer Chromebook Spin 311 R721T-62ZQ 11.6"" Touchscreen 2 in 1 Chromebook - 1366 x 768 - A6-9220C - 4 GB RAM - 32 GB Flash Memory - Shale Black - Chrome OS - AMD Radeon R5 (Renewed)",3.9,45,$34.99,https://www.amazon.com/dp/B08XWMZ1FC,B08XWMZ1FC
83,"Dell Latitude 5410 14"" FHD Business Notebook PC (1920 x 1080), Intel 10th Gen Core i5-10310U 1.7GHz, 16GB RAM DDR4, 256GB SSD, HDMI, CAM, Windows 11 Pro (Renewed)",4.6,15,$229.90,https://www.amazon.com/dp/B0F4X49921,B0F4X49921
84,"Lenovo ThinkPad L15 (Latest Model) Ryzen 5 PRO 5650U 6-Core 256GB SSD 16GB RAM FHD (1920x1080) IPS Non Touch Windows 11 Professional, Black (Renewed)",3.8,69,$393.01,https://www.amazon.com/dp/B0FJZYS213,B0FJZYS213
85,"HP 2023 Premium 2-in-1 Convertible Laptop, 11"" HD IPS Touchscreen, Intel 4-Core Pentium Processor Up to 3.30GHz, 8GB Ram, 128GB SSD, Super-Fast 6th Gen WiFi, HDMI, Windows 11 (Renewed)",4.0,354,$149.00,https://www.amazon.com/dp/B0C61DC3GL,B0C61DC3GL
